PERF: instrs=192778, cycles=181230, IPC=1.063720
PERF: core0: instrs=49012, cycles=171748, IPC=0.285372
PERF: core1: instrs=49012, cycles=140055, IPC=0.349948
PERF: core2: instrs=45742, cycles=174170, IPC=0.262628
PERF: core3: instrs=45742, cycles=173701, IPC=0.263338
PERF: instrs=189508, cycles=174170, IPC=1.088063
PERF: core0: instrs=49012, cycles=168297, IPC=0.291223
PERF: core1: instrs=45742, cycles=171432, IPC=0.266823
PERF: core2: instrs=45742, cycles=138473, IPC=0.330332
PERF: core3: instrs=45742, cycles=151143, IPC=0.302641
PERF: instrs=186238, cycles=171432, IPC=1.086367
PERF: core0: instrs=45742, cycles=162571, IPC=0.281366
PERF: core1: instrs=45742, cycles=138847, IPC=0.329442
PERF: core2: instrs=45742, cycles=175060, IPC=0.261293
PERF: core3: instrs=45742, cycles=172455, IPC=0.265240
PERF: instrs=182968, cycles=175060, IPC=1.045173
PERF: core0: instrs=45744, cycles=175821, IPC=0.260174
PERF: core1: instrs=45744, cycles=179358, IPC=0.255043
PERF: core2: instrs=45744, cycles=172896, IPC=0.264575
PERF: core3: instrs=42474, cycles=175850, IPC=0.241535
PERF: instrs=179706, cycles=179358, IPC=1.001940
PERF: core0: instrs=45744, cycles=164036, IPC=0.278866
PERF: core1: instrs=45744, cycles=143904, IPC=0.317879
PERF: core2: instrs=42474, cycles=166057, IPC=0.255780
PERF: core3: instrs=42474, cycles=143417, IPC=0.296157
PERF: instrs=176436, cycles=166057, IPC=1.062503
PERF: core0: instrs=45744, cycles=135999, IPC=0.336355
PERF: core1: instrs=42474, cycles=152828, IPC=0.277920
PERF: core2: instrs=42474, cycles=166478, IPC=0.255133
PERF: core3: instrs=42474, cycles=164173, IPC=0.258715
PERF: instrs=173166, cycles=166478, IPC=1.040174
PERF: core0: instrs=42474, cycles=167153, IPC=0.254103
PERF: core1: instrs=42474, cycles=154635, IPC=0.274673
PERF: core2: instrs=42474, cycles=143231, IPC=0.296542
PERF: core3: instrs=42474, cycles=150010, IPC=0.283141
PERF: instrs=169896, cycles=167153, IPC=1.016410
PERF: core0: instrs=42476, cycles=143783, IPC=0.295417
PERF: core1: instrs=42476, cycles=162230, IPC=0.261826
PERF: core2: instrs=42476, cycles=154413, IPC=0.275080
PERF: core3: instrs=39206, cycles=150745, IPC=0.260082
PERF: instrs=166634, cycles=162230, IPC=1.027147
PERF: core0: instrs=42476, cycles=145921, IPC=0.291089
PERF: core1: instrs=42476, cycles=131500, IPC=0.323011
PERF: core2: instrs=39206, cycles=167458, IPC=0.234124
PERF: core3: instrs=39206, cycles=161688, IPC=0.242479
PERF: instrs=163364, cycles=167458, IPC=0.975552
PERF: core0: instrs=42476, cycles=151690, IPC=0.280018
PERF: core1: instrs=39206, cycles=164432, IPC=0.238433
PERF: core2: instrs=39206, cycles=139856, IPC=0.280331
PERF: core3: instrs=39206, cycles=142212, IPC=0.275687
PERF: instrs=160094, cycles=164432, IPC=0.973618
