PERF: core14: instrs=14308, cycles=173881, IPC=0.082286
PERF: core15: instrs=14308, cycles=174261, IPC=0.082107
PERF: instrs=260403, cycles=383977, IPC=0.678173
PERF: core0: instrs=49531, cycles=407255, IPC=0.121622
PERF: core1: instrs=14311, cycles=170422, IPC=0.083974
PERF: core2: instrs=14308, cycles=174203, IPC=0.082134
PERF: core3: instrs=14308, cycles=174917, IPC=0.081799
PERF: core4: instrs=14311, cycles=170183, IPC=0.084092
PERF: core5: instrs=14308, cycles=175488, IPC=0.081533
PERF: core6: instrs=14308, cycles=172824, IPC=0.082789
PERF: core7: instrs=14308, cycles=173564, IPC=0.082436
PERF: core8: instrs=14308, cycles=174190, IPC=0.082140
PERF: core9: instrs=14311, cycles=173856, IPC=0.082315
PERF: core10: instrs=14308, cycles=176166, IPC=0.081219
PERF: core11: instrs=14308, cycles=176606, IPC=0.081017
PERF: core12: instrs=14308, cycles=174580, IPC=0.081957
PERF: core13: instrs=14311, cycles=170567, IPC=0.083903
PERF: core14: instrs=14308, cycles=173881, IPC=0.082286
PERF: core15: instrs=14308, cycles=174261, IPC=0.082107
PERF: instrs=264163, cycles=407255, IPC=0.648643
PERF: core0: instrs=53291, cycles=432057, IPC=0.123343
PERF: core1: instrs=14311, cycles=170463, IPC=0.083954
PERF: core2: instrs=14308, cycles=174244, IPC=0.082115
PERF: core3: instrs=14308, cycles=174958, IPC=0.081780
PERF: core4: instrs=14311, cycles=170224, IPC=0.084072
PERF: core5: instrs=14308, cycles=175529, IPC=0.081514
PERF: core6: instrs=14308, cycles=172865, IPC=0.082770
PERF: core7: instrs=14308, cycles=173605, IPC=0.082417
PERF: core8: instrs=14308, cycles=174231, IPC=0.082121
PERF: core9: instrs=14311, cycles=173897, IPC=0.082296
PERF: core10: instrs=14308, cycles=176207, IPC=0.081200
PERF: core11: instrs=14308, cycles=176647, IPC=0.080998
PERF: core12: instrs=14308, cycles=174621, IPC=0.081937
PERF: core13: instrs=14311, cycles=170608, IPC=0.083882
PERF: core14: instrs=14308, cycles=173922, IPC=0.082267
PERF: core15: instrs=14308, cycles=174302, IPC=0.082087
PERF: instrs=267923, cycles=432057, IPC=0.620110
PERF: core0: instrs=57051, cycles=455169, IPC=0.125340
PERF: core1: instrs=14311, cycles=170463, IPC=0.083954
PERF: core2: instrs=14308, cycles=174244, IPC=0.082115
PERF: core3: instrs=14308, cycles=174958, IPC=0.081780
PERF: core4: instrs=14311, cycles=170224, IPC=0.084072
PERF: core5: instrs=14308, cycles=175529, IPC=0.081514
PERF: core6: instrs=14308, cycles=172865, IPC=0.082770
PERF: core7: instrs=14308, cycles=173605, IPC=0.082417
PERF: core8: instrs=14308, cycles=174231, IPC=0.082121
PERF: core9: instrs=14311, cycles=173897, IPC=0.082296
PERF: core10: instrs=14308, cycles=176207, IPC=0.081200
PERF: core11: instrs=14308, cycles=176647, IPC=0.080998
PERF: core12: instrs=14308, cycles=174621, IPC=0.081937
PERF: core13: instrs=14311, cycles=170608, IPC=0.083882
PERF: core14: instrs=14308, cycles=173922, IPC=0.082267
PERF: core15: instrs=14308, cycles=174302, IPC=0.082087
PERF: instrs=271683, cycles=455169, IPC=0.596884
PERF: core0: instrs=60811, cycles=478745, IPC=0.127022
PERF: core1: instrs=14311, cycles=170414, IPC=0.083978
PERF: core2: instrs=14308, cycles=174195, IPC=0.082138
PERF: core3: instrs=14308, cycles=174909, IPC=0.081803
PERF: core4: instrs=14311, cycles=170175, IPC=0.084096
