PERF: core3: instrs=12461, cycles=159364, IPC=0.078192
PERF: core4: instrs=12461, cycles=161165, IPC=0.077318
PERF: core5: instrs=12461, cycles=160523, IPC=0.077628
PERF: core6: instrs=12461, cycles=158491, IPC=0.078623
PERF: core7: instrs=12461, cycles=160947, IPC=0.077423
PERF: core8: instrs=12461, cycles=159758, IPC=0.077999
PERF: core9: instrs=12461, cycles=158725, IPC=0.078507
PERF: core10: instrs=12461, cycles=155197, IPC=0.080292
PERF: core11: instrs=12461, cycles=160250, IPC=0.077760
PERF: core12: instrs=12461, cycles=160687, IPC=0.077548
PERF: core13: instrs=12461, cycles=160080, IPC=0.077842
PERF: core14: instrs=12461, cycles=157836, IPC=0.078949
PERF: core15: instrs=12461, cycles=155201, IPC=0.080289
PERF: instrs=315046, cycles=1871422, IPC=0.168346
PERF: core0: instrs=128130, cycles=1871432, IPC=0.068466
PERF: core1: instrs=12461, cycles=159101, IPC=0.078321
PERF: core2: instrs=12461, cycles=154932, IPC=0.080429
PERF: core3: instrs=12461, cycles=159364, IPC=0.078192
PERF: core4: instrs=12461, cycles=161165, IPC=0.077318
PERF: core5: instrs=12461, cycles=160523, IPC=0.077628
PERF: core6: instrs=12461, cycles=158491, IPC=0.078623
PERF: core7: instrs=12461, cycles=160947, IPC=0.077423
PERF: core8: instrs=12461, cycles=159758, IPC=0.077999
PERF: core9: instrs=12461, cycles=158725, IPC=0.078507
PERF: core10: instrs=12461, cycles=155197, IPC=0.080292
PERF: core11: instrs=12461, cycles=160250, IPC=0.077760
PERF: core12: instrs=12461, cycles=160687, IPC=0.077548
PERF: core13: instrs=12461, cycles=160080, IPC=0.077842
PERF: core14: instrs=12461, cycles=157836, IPC=0.078949
PERF: core15: instrs=12461, cycles=155201, IPC=0.080289
PERF: instrs=315045, cycles=1871432, IPC=0.168344
PERF: core0: instrs=128157, cycles=1870698, IPC=0.068508
PERF: core1: instrs=12490, cycles=159825, IPC=0.078148
PERF: core2: instrs=12490, cycles=156749, IPC=0.079682
PERF: core3: instrs=12490, cycles=161117, IPC=0.077521
PERF: core4: instrs=12490, cycles=162447, IPC=0.076887
PERF: core5: instrs=12490, cycles=161205, IPC=0.077479
PERF: core6: instrs=12490, cycles=161206, IPC=0.077479
PERF: core7: instrs=12490, cycles=162660, IPC=0.076786
