PERF: core14: instrs=12061, cycles=139136, IPC=0.086685
PERF: core15: instrs=12061, cycles=139138, IPC=0.086684
PERF: instrs=205250, cycles=340291, IPC=0.603160
PERF: core0: instrs=11183350, cycles=66446923, IPC=0.168305
PERF: core1: instrs=11298875, cycles=67367861, IPC=0.167719
PERF: core2: instrs=11298875, cycles=67378447, IPC=0.167693
PERF: core3: instrs=11298904, cycles=67171847, IPC=0.168209
PERF: core4: instrs=11298933, cycles=67380215, IPC=0.167689
PERF: core5: instrs=11298933, cycles=67318892, IPC=0.167842
PERF: core6: instrs=11298933, cycles=67343037, IPC=0.167782
PERF: core7: instrs=11346493, cycles=68055648, IPC=0.166724
PERF: core8: instrs=11453503, cycles=68663504, IPC=0.166806
PERF: core9: instrs=11453503, cycles=68574696, IPC=0.167022
PERF: core10: instrs=11453503, cycles=68557113, IPC=0.167065
PERF: core11: instrs=11453503, cycles=68646102, IPC=0.166849
PERF: core12: instrs=11453503, cycles=68369975, IPC=0.167522
PERF: core13: instrs=11453503, cycles=68528187, IPC=0.167136
PERF: core14: instrs=11453503, cycles=68503424, IPC=0.167196
PERF: core15: instrs=8387923, cycles=67487897, IPC=0.124288
PERF: instrs=178885740, cycles=68663504, IPC=2.605252
PERF: core0: instrs=24322, cycles=340567, IPC=0.071416
PERF: core1: instrs=12061, cycles=140534, IPC=0.085823
PERF: core2: instrs=12061, cycles=140535, IPC=0.085822
PERF: core3: instrs=12061, cycles=143416, IPC=0.084098
PERF: core4: instrs=12061, cycles=138924, IPC=0.086817
PERF: core5: instrs=12061, cycles=138926, IPC=0.086816
PERF: core6: instrs=12061, cycles=138925, IPC=0.086817
PERF: core7: instrs=12061, cycles=139828, IPC=0.086256
PERF: core8: instrs=12061, cycles=138550, IPC=0.087052
PERF: core9: instrs=12061, cycles=138551, IPC=0.087051
PERF: core10: instrs=12061, cycles=138548, IPC=0.087053
PERF: core11: instrs=12061, cycles=138549, IPC=0.087052
PERF: core12: instrs=12061, cycles=139316, IPC=0.086573
PERF: core13: instrs=12061, cycles=139318, IPC=0.086572
PERF: core14: instrs=12061, cycles=139317, IPC=0.086572
PERF: core15: instrs=12061, cycles=139492, IPC=0.086464
PERF: instrs=205237, cycles=340567, IPC=0.602633
PERF: core0: instrs=11144159, cycles=66100462, IPC=0.168594
PERF: core1: instrs=11259407, cycles=66857289, IPC=0.168410
PERF: core2: instrs=11259407, cycles=67045970, IPC=0.167936
PERF: core3: instrs=11259436, cycles=67016222, IPC=0.168011
PERF: core4: instrs=11259465, cycles=67097996, IPC=0.167806
PERF: core5: instrs=11259465, cycles=67078024, IPC=0.167856
