PERF: core1: instrs=732750, cycles=9264025, IPC=0.079096
PERF: core2: instrs=732750, cycles=9247919, IPC=0.079234
PERF: core3: instrs=645084, cycles=9055638, IPC=0.071236
PERF: instrs=2862789, cycles=9318131, IPC=0.307228
PERF: core0: instrs=96560, cycles=619655, IPC=0.155829
PERF: core1: instrs=52641, cycles=428175, IPC=0.122943
PERF: core2: instrs=52641, cycles=427946, IPC=0.123009
PERF: core3: instrs=52641, cycles=427947, IPC=0.123008
PERF: instrs=254483, cycles=619655, IPC=0.410685
PERF: core0: instrs=751228, cycles=9319791, IPC=0.080606
PERF: core1: instrs=731790, cycles=9249983, IPC=0.079113
PERF: core2: instrs=731790, cycles=9299703, IPC=0.078690
PERF: core3: instrs=644588, cycles=9097005, IPC=0.070857
PERF: instrs=2859396, cycles=9319791, IPC=0.306809
PERF: core0: instrs=96537, cycles=630922, IPC=0.153009
PERF: core1: instrs=52641, cycles=435823, IPC=0.120785
PERF: core2: instrs=52641, cycles=436059, IPC=0.120720
PERF: core3: instrs=52641, cycles=436086, IPC=0.120712
PERF: instrs=254460, cycles=630922, IPC=0.403315
PERF: core0: instrs=750251, cycles=9305650, IPC=0.080623
PERF: core1: instrs=730830, cycles=9232776, IPC=0.079156
PERF: core2: instrs=730830, cycles=9261466, IPC=0.078911
PERF: core3: instrs=638962, cycles=9108667, IPC=0.070149
PERF: instrs=2850873, cycles=9305650, IPC=0.306359
PERF: core0: instrs=96514, cycles=636792, IPC=0.151563
PERF: core1: instrs=52641, cycles=444063, IPC=0.118544
PERF: core2: instrs=52641, cycles=443891, IPC=0.118590
PERF: core3: instrs=52641, cycles=444084, IPC=0.118538
PERF: instrs=254437, cycles=636792, IPC=0.399561
PERF: core0: instrs=749274, cycles=9295527, IPC=0.080606
PERF: core1: instrs=729870, cycles=9256899, IPC=0.078846
PERF: core2: instrs=729870, cycles=9265914, IPC=0.078769
PERF: core3: instrs=638488, cycles=9038330, IPC=0.070642
